Economic Activity,Year, Value 
Accommodation and food service activities,1/1/2008, JOD 271.00 
,1/1/2009, JOD 274.00 
,1/1/2010, JOD 296.00 
,1/1/2011, JOD 318.00 
,1/1/2012, JOD 353.00 
,1/1/2013, JOD 380.00 
,1/1/2014, JOD 401.00 
,1/1/2015, JOD 395.00 
,1/1/2016, JOD 396.00 
,1/1/2017, JOD 413.00 
,1/1/2018, JOD 434.00 
,1/1/2019, JOD 461.00 
,1/1/2020, JOD 433.00 
,1/1/2021, JOD 452.00 
,1/1/2022, JOD 498.00 
,1/1/2023, JOD 540.00 
Administrative and support service activities,1/1/2008, JOD 104.00 
,1/1/2009, JOD 113.00 
,1/1/2010, JOD 130.00 
,1/1/2011, JOD 137.00 
,1/1/2012, JOD 154.00 
,1/1/2013, JOD 172.00 
,1/1/2014, JOD 184.00 
,1/1/2015, JOD 198.00 
,1/1/2016, JOD 212.00 
,1/1/2017, JOD 229.00 
,1/1/2018, JOD 247.00 
,1/1/2019, JOD 265.00 
,1/1/2020, JOD 199.00 
,1/1/2021, JOD 209.00 
,1/1/2022, JOD 209.00 
,1/1/2023, JOD 229.00 
"Arts, entertainment and recreation",1/1/2008, JOD 53.00 
,1/1/2009, JOD 59.00 
,1/1/2010, JOD 63.00 
,1/1/2011, JOD 77.00 
,1/1/2012, JOD 84.00 
,1/1/2013, JOD 94.00 
,1/1/2014, JOD 98.00 
,1/1/2015, JOD 109.00 
,1/1/2016, JOD 122.00 
,1/1/2017, JOD 130.00 
,1/1/2018, JOD 134.00 
,1/1/2019, JOD 135.00 
,1/1/2020, JOD 110.00 
,1/1/2021, JOD 122.00 
,1/1/2022, JOD 162.00 
,1/1/2023, JOD 166.00 
Education,1/1/2008," JOD 1,115.00 "
,1/1/2009," JOD 1,224.00 "
,1/1/2010," JOD 1,315.00 "
,1/1/2011," JOD 1,489.00 "
,1/1/2012," JOD 1,681.00 "
,1/1/2013," JOD 1,922.00 "
,1/1/2014," JOD 1,934.00 "
,1/1/2015," JOD 2,018.00 "
,1/1/2016," JOD 2,005.00 "
,1/1/2017," JOD 2,019.00 "
,1/1/2018," JOD 2,089.00 "
,1/1/2019," JOD 2,199.00 "
,1/1/2020," JOD 2,295.00 "
,1/1/2021," JOD 2,387.00 "
,1/1/2022," JOD 2,505.00 "
,1/1/2023," JOD 2,602.00 "
Financial and insurance activities,1/1/2008, JOD 964.00 
,1/1/2009, JOD 972.00 
,1/1/2010," JOD 1,153.00 "
,1/1/2011," JOD 1,300.00 "
,1/1/2012," JOD 1,460.00 "
,1/1/2013," JOD 1,632.00 "
,1/1/2014," JOD 1,729.00 "
,1/1/2015," JOD 1,818.00 "
,1/1/2016," JOD 1,934.00 "
,1/1/2017," JOD 2,069.00 "
,1/1/2018," JOD 2,156.00 "
,1/1/2019," JOD 2,266.00 "
,1/1/2020," JOD 2,334.00 "
,1/1/2021," JOD 2,432.00 "
,1/1/2022," JOD 2,509.00 "
,1/1/2023," JOD 2,606.00 "
Human health and social work activities,1/1/2008, JOD 457.00 
,1/1/2009, JOD 528.00 
,1/1/2010, JOD 543.00 
,1/1/2011, JOD 602.00 
,1/1/2012, JOD 679.00 
,1/1/2013, JOD 717.00 
,1/1/2014, JOD 818.00 
,1/1/2015, JOD 840.00 
,1/1/2016, JOD 911.00 
,1/1/2017, JOD 963.00 
,1/1/2018, JOD 996.00 
,1/1/2019," JOD 1,029.00 "
,1/1/2020," JOD 1,044.00 "
,1/1/2021," JOD 1,110.00 "
,1/1/2022," JOD 1,176.00 "
,1/1/2023," JOD 1,304.00 "
Information and communication,1/1/2008, JOD 654.00 
,1/1/2009, JOD 717.00 
,1/1/2010, JOD 786.00 
,1/1/2011, JOD 748.00 
,1/1/2012, JOD 768.00 
,1/1/2013, JOD 748.00 
,1/1/2014, JOD 710.00 
,1/1/2015, JOD 716.00 
,1/1/2016, JOD 707.00 
,1/1/2017, JOD 738.00 
,1/1/2018, JOD 778.00 
,1/1/2019, JOD 850.00 
,1/1/2020, JOD 919.00 
,1/1/2021, JOD 965.00 
,1/1/2022," JOD 1,055.00 "
,1/1/2023," JOD 1,114.00 "
Other service activities,1/1/2008, JOD 166.00 
,1/1/2009, JOD 167.00 
,1/1/2010, JOD 177.00 
,1/1/2011, JOD 183.00 
,1/1/2012, JOD 208.00 
,1/1/2013, JOD 230.00 
,1/1/2014, JOD 251.00 
,1/1/2015, JOD 269.00 
,1/1/2016, JOD 290.00 
,1/1/2017, JOD 316.00 
,1/1/2018, JOD 333.00 
,1/1/2019, JOD 344.00 
,1/1/2020, JOD 353.00 
,1/1/2021, JOD 372.00 
,1/1/2022, JOD 357.00 
,1/1/2023, JOD 379.00 
"Professional, scientific and technical activities",1/1/2008, JOD 130.00 
,1/1/2009, JOD 146.00 
,1/1/2010, JOD 163.00 
,1/1/2011, JOD 152.00 
,1/1/2012, JOD 179.00 
,1/1/2013, JOD 191.00 
,1/1/2014, JOD 206.00 
,1/1/2015, JOD 214.00 
,1/1/2016, JOD 262.00 
,1/1/2017, JOD 281.00 
,1/1/2018, JOD 301.00 
,1/1/2019, JOD 322.00 
,1/1/2020, JOD 323.00 
,1/1/2021, JOD 349.00 
,1/1/2022, JOD 361.00 
,1/1/2023, JOD 396.00 
Public administration and defence; compulsory social security,1/1/2008," JOD 1,516.00 "
,1/1/2009," JOD 1,838.00 "
,1/1/2010," JOD 1,974.00 "
,1/1/2011," JOD 2,104.00 "
,1/1/2012," JOD 2,232.00 "
,1/1/2013," JOD 2,356.00 "
,1/1/2014," JOD 2,527.00 "
